Symbol,Name,Sector
MELI,MercadoLibre,Consumer Discretionary
TEAM,Atlassian,Information Technology
DDOG,Datadog,Information Technology
ZS,Zscaler,Information Technology
OKTA,Okta,Information Technology
TTWO,Take-Two Interactive,Communication Services
PANW,Palo Alto Networks,Information Technology
CDNS,Cadence Design Systems,Information Technology
ANSS,ANSYS,Information Technology
FTNT,Fortinet,Information Technology
ODFL,Old Dominion Freight Line,Industrials
FAST,Fastenal,Industrials
CSGP,CoStar Group,Real Estate
VRSK,Verisk Analytics,Industrials
ILMN,Illumina,Health Care
IDXX,IDEXX Laboratories,Health Care
MCHP,Microchip Technology,Information Technology
CPRT,Copart,Industrials
ON,ON Semiconductor,Information Technology
PCAR,PACCAR,Industrials
ROST,Ross Stores,Consumer Discretionary
PAYX,Paychex,Industrials
BIIB,Biogen,Health Care
SIRI,Sirius XM,Communication Services
DLTR,Dollar Tree,Consumer Staples
WBD,Warner Bros Discovery,Communication Services
LCID,Lucid Group,Consumer Discretionary
RIVN,Rivian Automotive,Consumer Discretionary
DXCM,DexCom,Health Care
ENPH,Enphase Energy,Information Technology
